REPORTE DE EXPLICABILIDAD POR AISLAMIENTO DE RUTAS (SNN)
----------------------------------------------------------------------------------------------------------------------------------------------------------------
FILE A (REAL)        | FILE B (REAL)        | DIST   | RUTA ACTIVADA EN A                       | RUTA ACTIVADA EN B                      
----------------------------------------------------------------------------------------------------------------------------------------------------------------
9_19_2.wav (9)       | 4_13_13.wav (4)      | 1.04 | E8(25.0 spk/n)                           | INACTIVO                                
2_37_8.wav (2)       | 1_03_17.wav (1)      | 0.94 | E0(25.0 spk/n)                           | E8(25.0 spk/n)                          
9_45_34.wav (9)      | 7_21_3.wav (7)       | 0.91 | E8(25.0 spk/n)                           | INACTIVO                                
3_02_17.wav (3)      | 0_26_3.wav (0)       | 1.01 | E0(25.0 spk/n)                           | E0(25.0 spk/n) E8(24.5 spk/n)           
9_09_12.wav (9)      | 9_12_15.wav (9)      | 0.19 | E8(25.0 spk/n)                           | E8(25.0 spk/n)                          
8_52_15.wav (8)      | 7_09_29.wav (7)      | 1.33 | E3(50.0 spk/n) E0(25.0 spk/n)            | INACTIVO                                
6_47_5.wav (6)       | 9_37_1.wav (9)       | 1.30 | E3(50.0 spk/n) E0(24.5 spk/n)            | E8(25.0 spk/n)                          
5_23_29.wav (5)      | 3_37_28.wav (3)      | 1.03 | INACTIVO                                 | E0(25.0 spk/n)                          
1_07_21.wav (1)      | 7_40_20.wav (7)      | 0.97 | E8(24.0 spk/n)                           | INACTIVO                                
6_02_45.wav (6)      | 8_30_39.wav (8)      | 0.86 | E3(50.0 spk/n) E0(25.0 spk/n)            | E3(49.0 spk/n) E0(25.0 spk/n)           
6_34_28.wav (6)      | 6_04_14.wav (6)      | 0.02 | E3(50.0 spk/n) E0(25.0 spk/n)            | E3(50.0 spk/n) E0(25.0 spk/n)           
7_22_8.wav (7)       | 3_38_17.wav (3)      | 0.92 | INACTIVO                                 | E0(25.0 spk/n)                          
0_09_19.wav (0)      | 4_41_48.wav (4)      | 0.98 | E0(25.0 spk/n) E8(24.0 spk/n)            | INACTIVO                                
0_60_12.wav (0)      | 0_38_0.wav (0)       | 0.09 | E0(25.0 spk/n)                           | E0(25.0 spk/n)                          
1_08_1.wav (1)       | 4_04_26.wav (4)      | 0.99 | E8(25.0 spk/n)                           | INACTIVO                                
1_11_17.wav (1)      | 2_30_0.wav (2)       | 1.05 | E8(23.5 spk/n)                           | E0(25.0 spk/n)                          
8_38_41.wav (8)      | 1_46_35.wav (1)      | 0.99 | E3(50.0 spk/n) E0(25.0 spk/n)            | E8(25.0 spk/n)                          
3_28_22.wav (3)      | 4_48_9.wav (4)       | 1.16 | E0(25.0 spk/n)                           | INACTIVO                                
5_17_32.wav (5)      | 5_44_35.wav (5)      | 0.18 | INACTIVO                                 | INACTIVO                                
8_25_21.wav (8)      | 4_38_47.wav (4)      | 1.24 | E3(50.0 spk/n) E0(25.0 spk/n)            | INACTIVO                                
1_18_17.wav (1)      | 2_33_44.wav (2)      | 1.09 | E8(25.0 spk/n)                           | E0(25.0 spk/n)                          
5_53_33.wav (5)      | 0_10_41.wav (0)      | 1.38 | INACTIVO                                 | E0(24.5 spk/n)                          
9_54_14.wav (9)      | 2_20_32.wav (2)      | 0.97 | E8(9.0 spk/n)                            | E0(25.0 spk/n)                          
1_06_14.wav (1)      | 3_23_40.wav (3)      | 0.95 | E8(23.5 spk/n)                           | E0(25.0 spk/n)                          
2_45_27.wav (2)      | 1_29_0.wav (1)       | 1.01 | E0(25.0 spk/n)                           | E8(25.0 spk/n)                          
8_31_13.wav (8)      | 3_39_39.wav (3)      | 0.90 | E3(50.0 spk/n) E0(25.0 spk/n)            | E0(25.0 spk/n)                          
1_12_14.wav (1)      | 7_49_9.wav (7)       | 0.98 | E8(24.0 spk/n)                           | INACTIVO                                
6_21_39.wav (6)      | 0_46_43.wav (0)      | 1.23 | E3(50.0 spk/n) E0(25.0 spk/n)            | E0(25.0 spk/n)                          
6_03_18.wav (6)      | 5_50_43.wav (5)      | 0.98 | E3(48.0 spk/n) E0(25.0 spk/n)            | INACTIVO                                
5_07_24.wav (5)      | 6_37_36.wav (6)      | 0.98 | INACTIVO                                 | E3(50.0 spk/n) E0(25.0 spk/n)           
6_53_33.wav (6)      | 2_44_33.wav (2)      | 1.07 | E3(49.0 spk/n) E0(25.0 spk/n)            | E0(25.0 spk/n)                          
7_15_6.wav (7)       | 0_02_49.wav (0)      | 0.95 | INACTIVO                                 | E0(25.0 spk/n)                          
2_47_22.wav (2)      | 1_07_8.wav (1)       | 1.09 | E0(25.0 spk/n)                           | E8(2.0 spk/n)                           
2_37_1.wav (2)       | 9_34_3.wav (9)       | 0.94 | E0(25.0 spk/n)                           | E8(25.0 spk/n)                          
6_50_30.wav (6)      | 8_55_26.wav (8)      | 0.89 | E3(50.0 spk/n) E0(25.0 spk/n)            | E3(49.0 spk/n) E0(25.0 spk/n)           
4_23_29.wav (4)      | 7_18_8.wav (7)       | 1.00 | INACTIVO                                 | INACTIVO                                
